symbol,security,sector,industry,index
kss,Kohl's Corp.,consumer discretionary,general merchandise stores,SP500
khc,Kraft Heinz Co,consumer staples,packaged foods & meats,SP500
kr,Kroger Co.,consumer staples,food retail,SP500
lb,L Brands Inc.,consumer discretionary,apparel retail,SP500
lhx,L3Harris Technologies,industrials,aerospace & defense,SP500
lh,Laboratory Corp. of America Holding,health care,health care services,SP500
lrcx,Lam Research,information technology,semiconductor equipment,SP500
lw,Lamb Weston Holdings Inc,consumer staples,packaged foods & meats,SP500
lvs,Las Vegas Sands Corp,consumer discretionary,casinos & gaming,SP500
leg,Leggett & Platt,consumer discretionary,home furnishings,SP500
ldos,Leidos Holdings,information technology,it consulting & other services,SP500
len,Lennar Corp.,consumer discretionary,homebuilding,SP500
lly,Lilly (Eli) & Co.,health care,pharmaceuticals,SP500
lnc,Lincoln National,financials,multi-line insurance,SP500
lin,Linde plc,materials,industrial gases,SP500
lkq,LKQ Corporation,consumer discretionary,distributors,SP500
lmt,Lockheed Martin Corp.,industrials,aerospace & defense,SP500
l,Loews Corp.,financials,multi-line insurance,SP500
low,Lowe's Cos.,consumer discretionary,home improvement retail,SP500
lyb,LyondellBasell,materials,specialty chemicals,SP500
mtb,M&T Bank Corp.,financials,regional banks,SP500
mac,Macerich,real estate,retail reits,SP500
m,Macy's Inc.,consumer discretionary,department stores,SP500
mro,Marathon Oil Corp.,energy,oil & gas exploration & production,SP500
mpc,Marathon Petroleum,energy,oil & gas refining & marketing,SP500
mktx,MarketAxess,financials,financial exchanges & data,SP500
mar,Marriott Int'l.,consumer discretionary,"hotels, resorts & cruise lines",SP500
mmc,Marsh & McLennan,financials,insurance brokers,SP500
mlm,Martin Marietta Materials,materials,construction materials,SP500
mas,Masco Corp.,industrials,building products,SP500
